"Tidsmerke","Hvilken øvingsforelesning følger du?","Hvor i ""øvingskalenderen"" ønsker du øvingsforelesningen skal være?

Gitt at innlevering for  øving 2 er fredag i uke 2, og innlevering for øving 3 er fredag i uke 3. ","Hvordan synes du tiden til å løse oppgaver i øvingsforelesningen er?"
"2022/09/02 2:23:43 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:24:02 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","4"
"2022/09/02 2:27:35 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)",""
"2022/09/02 2:44:25 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 2:59:54 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 3:02:46 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","2"
"2022/09/02 3:05:22 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 3:06:25 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 3:07:33 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 3:11:50 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 3:29:57 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","4"
"2022/09/02 6:19:49 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 6:21:56 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","4"
"2022/09/02 6:22:37 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 6:23:25 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 6:24:09 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 6:30:20 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","2"
"2022/09/02 6:31:02 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
